evidence_id,round_number,agent_id,institution_choice,kind,bad_rep_prev,rep_drop_prev,gossip_prev,contribution,prop,motifs,text_excerpt,source_path
RB-01-A0-contribution,1,0,SFI,contribution,0,0,0,,0.0,future_rounds|opportunistic,Contributing nothing allows me to conserve wealth and assess future opportunities.,rounds[1].agents[0].contribution_reasoning
RB-01-A0-belief_strategy,1,0,SFI,belief_strategy,0,0,0,,0.0,conformity,Most peers are contributing highly in the SI institution.,rounds[1].agents[0].belief_state.institutional_strategy
RB-01-A1-belief_strategy,1,1,SFI,belief_strategy,0,0,0,,0.0291642363136405,conformity,Most peers are cooperative in SI.,rounds[1].agents[1].belief_state.institutional_strategy
RB-01-A2-contribution,1,2,SI,contribution,0,0,0,,0.0162540016449049,opportunistic,Optimizing for maximum cumulative payoff with a moderate contribution to balance self-interest and institutional credibility.,rounds[1].agents[2].contribution_reasoning
RB-01-A2-punishment,1,2,SI,punishment,0,0,0,,0.0162540016449049,opportunistic,Punishing free-riders and rewarding cooperative agents to encourage cooperation and discourage opportunistic behavior.,rounds[1].agents[2].punishment_reasoning
RB-01-A3-punishment,1,3,SI,punishment,0,0,0,,0.0,opportunistic,Punished free-riders and rewarded cooperative agents to balance self-interest and institutional credibility.,rounds[1].agents[3].punishment_reasoning
RB-01-A4-belief_strategy,1,4,SFI,belief_strategy,0,0,0,,0.0277117973079968,conformity,Most peers are cooperative in SI institutions.,rounds[1].agents[4].belief_state.institutional_strategy
RB-01-A5-punishment,1,5,SI,punishment,0,0,0,,0.0,opportunistic,Punished free-riders and rewarded cooperative contributors to balance self-interest and institutional credibility.,rounds[1].agents[5].punishment_reasoning
RB-01-A6-contribution,1,6,SI,contribution,0,0,0,,0.0579595345849372,future_rounds,Contribute a moderate amount to support global emissions reduction while preserving some wealth for potential future rounds.,rounds[1].agents[6].contribution_reasoning
RB-01-A6-punishment,1,6,SI,punishment,0,0,0,,0.0579595345849372,opportunistic,"Punishing free-riders to encourage cooperation, while rewarding generous contributors to promote positive behavior.",rounds[1].agents[6].punishment_reasoning
RB-01-A7-contribution,1,7,SFI,contribution,0,0,0,,0.0,future_rounds|opportunistic,Contributing nothing allows me to conserve wealth and assess future opportunities.,rounds[1].agents[7].contribution_reasoning
RB-01-A8-belief_strategy,1,8,SFI,belief_strategy,0,0,0,,0.0,conformity,Most peers are using the SI strategy.,rounds[1].agents[8].belief_state.institutional_strategy
RB-01-A9-belief_strategy,1,9,SFI,belief_strategy,0,0,0,,0.0,conformity,Most peers are contributing highly in SI institutions.,rounds[1].agents[9].belief_state.institutional_strategy
RB-01-A10-contribution,1,10,SI,contribution,0,0,0,,0.0,punishment_avoidance,Maximizing my cumulative payoff requires starting with a low contribution to avoid punishment and assess the group's behavior.,rounds[1].agents[10].contribution_reasoning
RB-01-A10-punishment,1,10,SI,punishment,0,0,0,,0.0,opportunistic,"Punished free-riders below the group average, while rewarding those who contributed significantly above the average or demonstrated a strong commitment to emissions reduction.",rounds[1].agents[10].punishment_reasoning
RB-01-A10-belief_strategy,1,10,SI,belief_strategy,0,0,0,,0.0,conformity,Most peers are using the SI strategy.,rounds[1].agents[10].belief_state.institutional_strategy
RB-01-A11-contribution,1,11,SFI,contribution,0,0,0,,0.0,future_rounds,Contributing nothing allows me to conserve budget for future rounds and avoid immediate financial burden.,rounds[1].agents[11].contribution_reasoning
RB-01-A11-belief_strategy,1,11,SFI,belief_strategy,0,0,0,,0.0,conformity,Most peers are using the SI strategy.,rounds[1].agents[11].belief_state.institutional_strategy
RB-01-A12-contribution,1,12,SFI,contribution,0,0,0,,0.0,future_rounds,Contributing nothing allows me to conserve budget for potential future benefits and avoid immediate costs.,rounds[1].agents[12].contribution_reasoning
RB-01-A12-belief_strategy,1,12,SFI,belief_strategy,0,0,0,,0.0,conformity,Most peers are contributing highly in SI.,rounds[1].agents[12].belief_state.institutional_strategy
RB-01-A13-punishment,1,13,SI,punishment,0,0,0,,0.0007500407938854,opportunistic,Targeted punishments for free-riders and rewards for cooperative agents in the first round.,rounds[1].agents[13].punishment_reasoning
RB-01-A14-punishment,1,14,SI,punishment,0,0,0,,0.4085467358121701,opportunistic,Punishing free-riders who contributed below the group average or had mismatched stated intent. Rewarding generous contributors who demonstrated a willingness to support emissions reduction and maximize cumulative payoff through cooperation.,rounds[1].agents[14].punishment_reasoning
RB-01-A14-belief_observations,1,14,SI,belief_observations,0,0,0,,0.4085467358121701,named_agents,Agent 14 contributed significantly this round.,rounds[1].agents[14].belief_state.observations
RB-01-A15-contribution,1,15,SFI,contribution,0,0,0,,0.1391096979332273,opportunistic,Begin with a moderate contribution to explore potential returns and avoid free-riding.,rounds[1].agents[15].contribution_reasoning
RB-01-A16-contribution,1,16,SI,contribution,0,0,0,,0.5192738589750284,future_rounds,Maximize cumulative payoff by contributing a substantial amount while considering future Stage 2 budget and institutional strategy.,rounds[1].agents[16].contribution_reasoning
RB-01-A16-punishment,1,16,SI,punishment,0,0,0,,0.5192738589750284,opportunistic,Punished free-riders and rewarded generous contributors to maintain group cooperation and credibility.,rounds[1].agents[16].punishment_reasoning
RB-01-A17-contribution,1,17,SFI,contribution,0,0,0,,0.0,future_rounds,"In this first round with no prior contributions, I choose to contribute nothing to observe group behavior and maintain maximum flexibility for future rounds.",rounds[1].agents[17].contribution_reasoning
RB-01-A17-belief_strategy,1,17,SFI,belief_strategy,0,0,0,,0.0,conformity,Most peers are contributing highly in SI.,rounds[1].agents[17].belief_state.institutional_strategy
RB-01-A18-belief_strategy,1,18,SFI,belief_strategy,0,0,0,,0.1086670525706467,conformity,Most peers are cooperative in SI institutions.,rounds[1].agents[18].belief_state.institutional_strategy
RB-01-A19-belief_strategy,1,19,SFI,belief_strategy,0,0,0,,0.0,conformity,Most peers are high-contributors in SI.,rounds[1].agents[19].belief_state.institutional_strategy
RB-01-A20-contribution,1,20,SFI,contribution,0,0,0,,0.0,punishment_avoidance|future_rounds,Choosing a contribution of 0 allows me to conserve resources for future rounds and avoids any potential punishment effect.,rounds[1].agents[20].contribution_reasoning
RB-01-A20-belief_strategy,1,20,SFI,belief_strategy,0,0,0,,0.0,conformity,Most peers are contributing highly in SI.,rounds[1].agents[20].belief_state.institutional_strategy
RB-01-A21-punishment,1,21,SI,punishment,0,0,0,,0.6750001434375306,opportunistic,"Punished free-riders with low contributions or mismatched stated intent, rewarded generous contributors to emissions reduction and institutional credibility.",rounds[1].agents[21].punishment_reasoning
RB-01-A22-contribution,1,22,SI,contribution,0,0,0,,0.9503826926671824,opportunistic,"To maximize my cumulative payoff, I contribute the maximum amount to take advantage of the high MCPR.",rounds[1].agents[22].contribution_reasoning
RB-01-A22-punishment,1,22,SI,punishment,0,0,0,,0.9503826926671824,future_rounds|opportunistic,Punishing free-riders and rewarding cooperative agents to promote group stability and long-term climate goals.,rounds[1].agents[22].punishment_reasoning
RB-01-A23-contribution,1,23,SI,contribution,0,0,0,,3.084051189081637,opportunistic,"To maximize my cumulative payoff, I contribute nearly the entire budget to take advantage of the high MCPR.",rounds[1].agents[23].contribution_reasoning
RB-01-A23-punishment,1,23,SI,punishment,0,0,0,,3.084051189081637,opportunistic,Punishing free-riders and rewarding cooperative agents to maintain institutional credibility and encourage cooperation.,rounds[1].agents[23].punishment_reasoning
RB-01-A23-belief_strategy,1,23,SI,belief_strategy,0,0,0,,3.084051189081637,conformity,Most peers are using the SI strategy.,rounds[1].agents[23].belief_state.institutional_strategy
RB-01-A24-belief_strategy,1,24,SFI,belief_strategy,0,0,0,,0.0,named_agents,"Most peers follow SI, except Agent 24 and low-contributors.",rounds[1].agents[24].belief_state.institutional_strategy
