agent_id,round_number,contribution,prop_of_wealth,wealth_eor,is_zero,reputation,shock_occurred,ldf_payout_round,evidence_id,contribution_reasoning
2,4,1500000.0,0.1973981744985299,7598854.466666667,False,7.12,0,0.0,RB-04-A2-contribution,Maximal contribution to maximize cumulative payoff while being consistent with my institution's cooperative behavior.
2,5,3799420.0,0.5739957051718322,6619248.133333333,False,5.0,1,0.0,RB-05-A2-contribution,"Maximizing cumulative payoff by choosing a contribution that is near the maximum allowed, taking into account MCPR and Stage 2 budget."
2,6,0.0,0.0,8292031.8,True,5.12,0,0.0,RB-06-A2-contribution,"Given a high budget and low marginal return, I choose to contribute nothing to maximize my payoff."
2,7,1500000.0,0.1452603213123445,10326288.6,False,1.0,0,0.0,RB-07-A2-contribution,"I've chosen to contribute a significant amount due to my high budget and relatively low marginal return, consistent with past behavior."
3,4,1466364.0,0.4149769530827568,3533603.4666666663,False,4.4,0,0.0,RB-04-A3-contribution,"Based on previous round data, I will contribute an amount close to the group average."
3,5,300000.0,0.0528519052501109,5676238.133333333,False,5.32,1,0.0,RB-05-A3-contribution,"I'm choosing a moderate contribution to balance self-interest and cooperation, given my institution's historical strategy and previous round data."
3,6,0.0,0.0,7347343.8,True,5.0,0,0.0,RB-06-A3-contribution,"Given a high budget and low marginal return, I choose to contribute nothing to maximize my payoff."
3,7,1200000.0,0.1239026023945045,9685026.6,False,1.0,0,0.0,RB-07-A3-contribution,"Maximize payoff by contributing at MCPR threshold, considering previous round's high contributors and recent institutional strategy."
5,4,3063221.0,0.5609080118997916,5461182.466666667,False,5.28,0,0.0,RB-04-A5-contribution,"Maximizing my cumulative payoff over the game requires contributing a significant amount, but not exhausting my budget to avoid potential future costs."
5,5,0.0,0.0,8279134.133333333,True,6.56,1,0.0,RB-05-A5-contribution,"Given no marginal return to me per unit contributed (MCPR of 0.1333), I choose not to contribute."
5,6,0.0,0.0,9946064.8,True,1.0,0,0.0,RB-06-A5-contribution,"Given a low MCPR of 0.1333, it is optimal to contribute nothing this round."
5,7,3063221.0,0.2940175366551891,10418497.6,False,1.0,0,0.0,RB-07-A5-contribution,"I have chosen to contribute the same amount as my previous round, considering that I have a relatively high budget and MCPR is low."
6,4,5000000.0,1.8365827297751105,2722447.4666666663,False,5.96,0,0.0,RB-04-A6-contribution,Optimizing for maximum cumulative payoff requires a high contribution to maximize MCPR and potential future earnings.
6,5,1350000.0,0.3220238452853053,4192236.133333333,False,5.24,1,0.0,RB-05-A6-contribution,Higher contribution to maximize cumulative payoff and balance self-interest with cooperation.
6,6,0.0,0.0,5869096.8,True,5.6,0,0.0,RB-06-A6-contribution,"Given a low MCPR and no free endowment, contributing nothing maximizes my payoff in this scenario."
6,7,2000000.0,0.2701340132138213,7403732.6,False,1.0,0,0.0,RB-07-A6-contribution,"I contributed a moderate amount to balance individual and collective interests, considering the MCPR and previous contributions."
10,4,0.0,0.0,10502655.466666669,True,5.0,0,0.0,RB-04-A10-contribution,"Given a high budget and low MCPR, it is optimal to contribute nothing."
